work_year,job_title,job_category,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2020,statistician,ML/AI,184818,india,senior,temporario,hibrido,reino unido,pequena
2020,machine_learning_engineer,Engineering,108348,mexico,pleno,tempo_integral,remoto,alemanha,media
2021,data_analyst,Analysis,186408,reino unido,executivo,meio_periodo,presencial,india,media
2021,data_analyst,ML/AI,144892,japao,pleno,meio_periodo,presencial,estados unidos,media
2022,machine_learning_engineer,Analysis,75952,estados unidos,senior,meio_periodo,remoto,china,media
2020,statistician,ML/AI,125996,alemanha,junior,freelancer,remoto,japao,media
2020,data_engineer,Engineering,155982,alemanha,senior,tempo_integral,presencial,mexico,pequena
2021,statistician,Analysis,89379,reino unido,sem_exp,freelancer,presencial,india,grande
2020,statistician,Engineering,195392,alemanha,junior,freelancer,presencial,reino unido,grande
2021,machine_learning_engineer,Data Science,136120,india,executivo,tempo_integral,remoto,estados unidos,media
2020,data_analyst,ML/AI,157852,reino unido,junior,tempo_integral,presencial,india,grande
2022,statistician,ML/AI,128111,estados unidos,junior,meio_periodo,remoto,mexico,media
2020,data_analyst,Data Science,66516,estados unidos,junior,freelancer,remoto,japao,media
2020,data_scientist,Engineering,101114,reino unido,pleno,freelancer,hibrido,india,media
2021,data_analyst,Data Science,152078,alemanha,sem_exp,tempo_integral,remoto,japao,pequena
2020,data_engineer,Data Science,159657,alemanha,executivo,freelancer,hibrido,reino unido,media
2020,data_engineer,ML/AI,91240,estados unidos,junior,temporario,remoto,estados unidos,grande
2021,statistician,Data Science,71798,india,pleno,tempo_integral,remoto,reino unido,pequena
2022,data_analyst,ML/AI,148371,china,junior,meio_periodo,hibrido,estados unidos,media
2022,statistician,Data Science,96473,alemanha,executivo,temporario,hibrido,india,grande
2021,machine_learning_engineer,ML/AI,155811,india,executivo,temporario,hibrido,reino unido,pequena
2021,data_engineer,Data Science,161496,mexico,executivo,meio_periodo,hibrido,estados unidos,media
2021,statistician,Analysis,139806,alemanha,executivo,temporario,hibrido,china,pequena
2021,machine_learning_engineer,ML/AI,164123,china,pleno,temporario,hibrido,japao,media
2021,statistician,Engineering,131209,reino unido,senior,temporario,hibrido,estados unidos,grande
2022,data_analyst,Data Science,126878,japao,sem_exp,freelancer,remoto,china,grande
2022,data_analyst,Engineering,107774,estados unidos,pleno,temporario,remoto,reino unido,media
2021,data_analyst,Data Science,57786,reino unido,junior,temporario,hibrido,reino unido,grande
2020,data_analyst,Engineering,125204,alemanha,executivo,tempo_integral,presencial,india,grande
2021,data_scientist,Engineering,162339,china,executivo,meio_periodo,hibrido,japao,grande
2020,machine_learning_engineer,Data Science,49650,estados unidos,executivo,freelancer,presencial,estados unidos,media
2021,machine_learning_engineer,Analysis,37017,japao,sem_exp,freelancer,remoto,reino unido,media
2021,data_analyst,Data Science,170921,japao,sem_exp,meio_periodo,remoto,estados unidos,media
2022,data_scientist,Engineering,92453,china,executivo,freelancer,presencial,alemanha,pequena
2020,data_analyst,Engineering,97762,china,executivo,freelancer,remoto,japao,grande
2020,data_scientist,ML/AI,165460,alemanha,junior,freelancer,hibrido,japao,grande
2022,data_analyst,ML/AI,97958,estados unidos,senior,tempo_integral,presencial,china,media
2022,data_engineer,Analysis,107568,mexico,pleno,tempo_integral,presencial,alemanha,grande
2022,data_engineer,ML/AI,102852,mexico,senior,freelancer,remoto,japao,pequena
2022,statistician,ML/AI,163915,alemanha,executivo,meio_periodo,presencial,alemanha,media
2020,data_analyst,Data Science,58015,japao,senior,meio_periodo,presencial,estados unidos,grande
2020,machine_learning_engineer,Analysis,76546,reino unido,senior,tempo_integral,presencial,mexico,pequena
2021,statistician,Analysis,81055,reino unido,pleno,tempo_integral,remoto,alemanha,media
2021,data_engineer,ML/AI,132528,india,pleno,temporario,presencial,india,pequena
2022,data_analyst,Data Science,133283,japao,junior,tempo_integral,presencial,china,media
2022,statistician,Data Science,79577,mexico,executivo,freelancer,hibrido,alemanha,media
2022,data_analyst,Analysis,196241,mexico,junior,tempo_integral,hibrido,estados unidos,media
2021,data_engineer,Data Science,59415,japao,pleno,temporario,presencial,japao,grande
2021,statistician,Engineering,176757,alemanha,junior,temporario,remoto,india,media
2021,data_engineer,ML/AI,45963,india,sem_exp,meio_periodo,presencial,alemanha,pequena
2021,data_scientist,Engineering,190770,china,senior,meio_periodo,remoto,china,grande
2021,data_engineer,Analysis,92415,india,pleno,freelancer,hibrido,china,grande
2021,data_analyst,Analysis,86400,estados unidos,senior,tempo_integral,hibrido,estados unidos,grande
2021,machine_learning_engineer,Data Science,144731,alemanha,executivo,temporario,presencial,india,media
2022,data_engineer,Data Science,85450,china,pleno,temporario,remoto,india,grande
2022,machine_learning_engineer,Analysis,116962,china,executivo,meio_periodo,remoto,india,pequena
2022,data_scientist,Analysis,181650,mexico,pleno,meio_periodo,remoto,alemanha,pequena
2022,statistician,Engineering,148639,reino unido,pleno,tempo_integral,presencial,estados unidos,media
2021,statistician,Analysis,58842,estados unidos,sem_exp,temporario,remoto,estados unidos,media
2020,machine_learning_engineer,Data Science,46531,india,pleno,meio_periodo,hibrido,estados unidos,pequena
2021,statistician,Engineering,163242,reino unido,pleno,tempo_integral,remoto,mexico,pequena
2020,data_engineer,ML/AI,151843,japao,sem_exp,tempo_integral,remoto,reino unido,media
2022,machine_learning_engineer,Data Science,168369,alemanha,senior,tempo_integral,presencial,japao,grande
2021,data_analyst,ML/AI,34163,india,executivo,meio_periodo,presencial,estados unidos,media
2022,data_engineer,Data Science,70794,japao,pleno,meio_periodo,presencial,reino unido,pequena
2021,data_engineer,Engineering,71787,china,executivo,meio_periodo,presencial,reino unido,media
2022,data_engineer,Analysis,138248,mexico,junior,freelancer,presencial,india,pequena
2020,data_analyst,Analysis,87219,india,pleno,freelancer,remoto,japao,grande
2020,data_scientist,Engineering,131243,reino unido,executivo,freelancer,remoto,india,pequena
2020,statistician,Analysis,140224,estados unidos,senior,meio_periodo,presencial,japao,pequena
2021,machine_learning_engineer,Data Science,54448,reino unido,junior,meio_periodo,presencial,mexico,pequena
2020,data_scientist,Analysis,86437,alemanha,junior,freelancer,remoto,india,grande
2021,machine_learning_engineer,Engineering,58299,mexico,executivo,temporario,presencial,china,grande
2020,statistician,Analysis,107093,alemanha,pleno,temporario,hibrido,alemanha,pequena
2020,data_analyst,Data Science,199720,india,pleno,temporario,remoto,japao,pequena
2021,data_engineer,Data Science,175168,reino unido,senior,temporario,hibrido,china,grande
2021,data_engineer,Engineering,155113,estados unidos,senior,freelancer,remoto,reino unido,grande
2020,data_analyst,Engineering,129317,china,pleno,tempo_integral,remoto,reino unido,grande
2021,data_scientist,Engineering,168463,alemanha,junior,tempo_integral,remoto,japao,pequena
2020,data_scientist,Data Science,104891,estados unidos,sem_exp,temporario,remoto,india,grande
2021,machine_learning_engineer,ML/AI,70286,japao,senior,meio_periodo,remoto,mexico,media
2022,data_analyst,Data Science,121353,india,junior,temporario,remoto,alemanha,grande
2022,data_scientist,ML/AI,141027,estados unidos,pleno,temporario,remoto,alemanha,media
2022,data_analyst,ML/AI,67595,india,executivo,tempo_integral,presencial,estados unidos,pequena
2022,statistician,Analysis,158840,japao,senior,meio_periodo,presencial,japao,media
2022,data_engineer,ML/AI,92740,estados unidos,junior,tempo_integral,presencial,alemanha,media
2020,data_engineer,Analysis,80929,mexico,senior,meio_periodo,hibrido,india,media
2022,data_engineer,Engineering,62827,estados unidos,junior,freelancer,remoto,india,grande
2022,data_analyst,Analysis,56209,china,senior,tempo_integral,presencial,reino unido,pequena
2022,data_analyst,Analysis,127654,japao,pleno,freelancer,presencial,alemanha,grande
2022,machine_learning_engineer,Engineering,138947,mexico,junior,freelancer,presencial,alemanha,media
2021,data_engineer,Engineering,103396,mexico,executivo,temporario,remoto,india,grande
2020,machine_learning_engineer,Data Science,174878,reino unido,executivo,meio_periodo,remoto,reino unido,pequena
2022,data_engineer,Data Science,143254,estados unidos,senior,tempo_integral,hibrido,alemanha,pequena
2022,machine_learning_engineer,Data Science,186478,china,executivo,temporario,hibrido,mexico,pequena
2022,machine_learning_engineer,Data Science,195432,estados unidos,senior,tempo_integral,remoto,mexico,pequena
2020,statistician,Analysis,110000,china,junior,freelancer,hibrido,india,media
2021,machine_learning_engineer,Analysis,68865,mexico,sem_exp,tempo_integral,presencial,reino unido,media
2020,data_analyst,Data Science,167530,alemanha,executivo,tempo_integral,hibrido,reino unido,media
2021,machine_learning_engineer,ML/AI,39151,mexico,executivo,temporario,presencial,india,media
2022,data_engineer,Data Science,160759,reino unido,pleno,meio_periodo,hibrido,reino unido,media
2022,machine_learning_engineer,ML/AI,102024,estados unidos,junior,tempo_integral,presencial,china,grande
2020,data_scientist,Engineering,185613,japao,executivo,freelancer,hibrido,china,pequena
2020,data_engineer,Analysis,154001,india,executivo,freelancer,hibrido,reino unido,media
2021,data_scientist,Analysis,182875,japao,executivo,temporario,remoto,estados unidos,pequena
2021,data_engineer,ML/AI,73183,reino unido,senior,freelancer,remoto,reino unido,pequena
2020,data_analyst,Data Science,92323,alemanha,pleno,tempo_integral,presencial,mexico,media
2021,data_analyst,Analysis,153978,alemanha,junior,meio_periodo,remoto,alemanha,media
2020,data_analyst,ML/AI,120254,alemanha,executivo,tempo_integral,presencial,reino unido,pequena
2021,data_scientist,Data Science,172242,china,sem_exp,temporario,remoto,alemanha,pequena
2020,statistician,Engineering,77284,japao,executivo,freelancer,remoto,india,pequena
2020,data_engineer,Analysis,170332,india,senior,tempo_integral,presencial,reino unido,grande
2020,data_analyst,Data Science,168708,mexico,junior,tempo_integral,hibrido,india,grande
2021,data_engineer,ML/AI,132491,mexico,sem_exp,freelancer,presencial,japao,pequena
2021,data_scientist,Analysis,66108,india,executivo,meio_periodo,presencial,mexico,grande
2021,statistician,Engineering,45941,mexico,senior,meio_periodo,presencial,china,pequena
2020,data_scientist,Data Science,189427,china,senior,meio_periodo,remoto,reino unido,pequena
2021,data_engineer,ML/AI,102836,estados unidos,pleno,freelancer,remoto,india,media
2021,statistician,Analysis,117719,china,pleno,tempo_integral,remoto,japao,pequena
2020,statistician,ML/AI,194805,india,junior,temporario,presencial,alemanha,media
2022,data_scientist,Data Science,37444,india,pleno,tempo_integral,hibrido,alemanha,media
2020,data_analyst,Data Science,121291,estados unidos,junior,freelancer,hibrido,china,pequena
2021,data_engineer,Engineering,118598,japao,pleno,freelancer,presencial,china,grande
2020,machine_learning_engineer,Data Science,175682,japao,executivo,tempo_integral,presencial,mexico,pequena
2022,machine_learning_engineer,Analysis,96036,reino unido,pleno,freelancer,hibrido,mexico,pequena
2020,data_scientist,ML/AI,34554,japao,executivo,tempo_integral,remoto,alemanha,grande
2021,data_engineer,Data Science,55545,alemanha,junior,tempo_integral,presencial,alemanha,media
2022,data_engineer,Data Science,160745,alemanha,pleno,meio_periodo,hibrido,alemanha,grande
2021,data_scientist,Analysis,91971,reino unido,pleno,freelancer,hibrido,estados unidos,pequena
2022,data_engineer,ML/AI,76059,india,pleno,freelancer,hibrido,mexico,pequena
2022,data_analyst,ML/AI,167843,reino unido,executivo,meio_periodo,remoto,china,grande
2020,data_scientist,Data Science,99468,estados unidos,sem_exp,meio_periodo,hibrido,india,grande
2020,data_analyst,Engineering,56055,reino unido,pleno,meio_periodo,hibrido,japao,grande
2021,data_engineer,ML/AI,198274,reino unido,junior,temporario,hibrido,japao,media
2020,data_scientist,Analysis,188772,china,executivo,freelancer,presencial,reino unido,grande
2020,data_engineer,ML/AI,33567,alemanha,sem_exp,tempo_integral,presencial,india,grande
2022,data_scientist,Engineering,56627,estados unidos,junior,tempo_integral,presencial,china,grande
2020,data_engineer,Data Science,199640,china,junior,tempo_integral,hibrido,estados unidos,pequena
2022,data_analyst,Analysis,181832,estados unidos,junior,freelancer,hibrido,estados unidos,media
2022,data_analyst,Data Science,191057,reino unido,executivo,temporario,remoto,india,media
2022,data_engineer,Analysis,109944,china,pleno,freelancer,hibrido,alemanha,grande
2021,data_scientist,ML/AI,125368,china,pleno,freelancer,remoto,alemanha,pequena
2021,machine_learning_engineer,Engineering,70785,estados unidos,senior,freelancer,hibrido,india,media
2021,data_analyst,Data Science,196655,estados unidos,pleno,freelancer,remoto,china,grande
2022,data_analyst,Data Science,194810,japao,senior,freelancer,presencial,japao,media
2021,machine_learning_engineer,ML/AI,54204,mexico,senior,temporario,hibrido,alemanha,grande
2021,data_engineer,ML/AI,46643,estados unidos,sem_exp,meio_periodo,remoto,reino unido,media
2020,data_scientist,Data Science,100561,china,senior,tempo_integral,presencial,china,grande
2021,data_engineer,Analysis,67126,india,junior,freelancer,presencial,china,pequena
2021,statistician,ML/AI,88126,estados unidos,junior,freelancer,hibrido,estados unidos,media
2022,data_analyst,Engineering,112424,alemanha,junior,freelancer,remoto,mexico,pequena
2022,statistician,Analysis,154453,japao,sem_exp,tempo_integral,remoto,alemanha,pequena
2022,data_analyst,Analysis,75258,alemanha,senior,temporario,remoto,japao,media
2022,data_analyst,Data Science,64527,mexico,senior,tempo_integral,presencial,china,pequena
2022,statistician,Analysis,53898,alemanha,junior,temporario,remoto,alemanha,pequena
2022,statistician,Analysis,33794,india,executivo,meio_periodo,presencial,alemanha,grande
2021,data_engineer,Analysis,175770,japao,pleno,freelancer,remoto,estados unidos,pequena
2022,statistician,ML/AI,173404,mexico,junior,temporario,presencial,reino unido,grande
2022,data_engineer,Engineering,39593,reino unido,executivo,tempo_integral,hibrido,china,pequena
2020,data_engineer,Data Science,88132,china,pleno,temporario,presencial,mexico,media
2021,data_engineer,Engineering,150973,china,executivo,temporario,remoto,reino unido,pequena
2021,data_analyst,Analysis,131633,estados unidos,pleno,meio_periodo,presencial,japao,pequena
2021,data_analyst,Analysis,41036,china,senior,freelancer,remoto,mexico,pequena
2022,statistician,Engineering,124097,india,senior,freelancer,hibrido,india,grande
2022,data_analyst,Engineering,83164,china,executivo,tempo_integral,presencial,india,media
2022,statistician,Data Science,180423,india,executivo,tempo_integral,hibrido,mexico,media
2020,data_analyst,Analysis,88413,reino unido,pleno,meio_periodo,presencial,india,pequena
2022,data_scientist,Engineering,48059,india,executivo,temporario,presencial,japao,pequena
2020,data_scientist,ML/AI,57188,reino unido,executivo,temporario,hibrido,china,grande
2021,statistician,Analysis,128591,reino unido,sem_exp,tempo_integral,hibrido,alemanha,pequena
2022,data_analyst,Analysis,111795,reino unido,pleno,freelancer,presencial,reino unido,pequena
2020,data_analyst,Data Science,41829,india,senior,temporario,presencial,reino unido,pequena
2020,data_engineer,ML/AI,103673,mexico,junior,meio_periodo,presencial,alemanha,media
2022,machine_learning_engineer,Data Science,54502,reino unido,executivo,tempo_integral,hibrido,china,pequena
2021,statistician,ML/AI,188276,mexico,pleno,temporario,remoto,mexico,pequena
2021,machine_learning_engineer,Data Science,31265,india,senior,freelancer,hibrido,reino unido,media
2021,machine_learning_engineer,ML/AI,196823,japao,junior,freelancer,presencial,china,grande
2020,statistician,ML/AI,185387,reino unido,executivo,meio_periodo,presencial,mexico,pequena
2020,data_analyst,ML/AI,77457,india,senior,meio_periodo,hibrido,mexico,pequena
2020,statistician,Engineering,76875,india,junior,tempo_integral,presencial,mexico,media
2020,machine_learning_engineer,Analysis,90359,mexico,executivo,tempo_integral,presencial,reino unido,media
2021,data_analyst,ML/AI,136334,india,senior,freelancer,presencial,india,grande
2022,data_scientist,Engineering,152950,estados unidos,executivo,freelancer,presencial,india,grande
2020,statistician,Engineering,194451,mexico,junior,temporario,presencial,estados unidos,pequena
2020,statistician,Analysis,94102,mexico,sem_exp,temporario,remoto,estados unidos,media
2021,data_analyst,Analysis,131827,estados unidos,senior,temporario,hibrido,reino unido,grande
2022,data_scientist,Analysis,122688,reino unido,junior,meio_periodo,hibrido,india,grande
2022,data_scientist,Data Science,89469,china,executivo,meio_periodo,hibrido,china,pequena
2021,data_analyst,Analysis,125789,japao,junior,temporario,remoto,estados unidos,grande
2021,data_engineer,ML/AI,195468,china,sem_exp,freelancer,remoto,estados unidos,media
2022,statistician,Engineering,43176,reino unido,pleno,tempo_integral,hibrido,india,grande
2020,statistician,Engineering,95036,alemanha,senior,meio_periodo,hibrido,china,media
2022,machine_learning_engineer,ML/AI,37907,alemanha,junior,meio_periodo,hibrido,estados unidos,grande
2021,data_analyst,Data Science,33372,japao,pleno,temporario,presencial,alemanha,grande
2020,machine_learning_engineer,Engineering,188644,mexico,pleno,tempo_integral,remoto,mexico,media
2020,machine_learning_engineer,Engineering,54592,japao,pleno,meio_periodo,remoto,china,media
2021,data_scientist,Data Science,174174,japao,executivo,tempo_integral,presencial,alemanha,pequena
2021,statistician,Analysis,138093,estados unidos,sem_exp,meio_periodo,remoto,india,grande
2021,machine_learning_engineer,Analysis,186714,estados unidos,pleno,tempo_integral,hibrido,india,media
2022,data_scientist,Engineering,33139,alemanha,pleno,tempo_integral,remoto,estados unidos,pequena
2022,data_analyst,Data Science,107179,japao,pleno,meio_periodo,presencial,reino unido,grande
2020,machine_learning_engineer,Analysis,48643,india,senior,tempo_integral,hibrido,japao,pequena
2021,statistician,Analysis,134425,china,senior,freelancer,remoto,alemanha,grande
2020,machine_learning_engineer,Engineering,90117,alemanha,pleno,meio_periodo,hibrido,alemanha,grande
2020,data_analyst,ML/AI,189852,japao,junior,meio_periodo,remoto,china,grande
2020,machine_learning_engineer,Analysis,136485,india,executivo,freelancer,hibrido,china,media
2020,statistician,Data Science,143607,japao,junior,tempo_integral,presencial,india,pequena
2021,data_scientist,ML/AI,90332,mexico,junior,freelancer,presencial,mexico,pequena
2020,statistician,ML/AI,60632,reino unido,pleno,meio_periodo,remoto,reino unido,media
2021,data_scientist,Analysis,199565,india,junior,freelancer,remoto,india,media
2021,data_engineer,Engineering,190480,mexico,senior,tempo_integral,hibrido,estados unidos,pequena
2022,statistician,ML/AI,117157,china,senior,freelancer,presencial,reino unido,media
2021,statistician,Engineering,187011,reino unido,executivo,meio_periodo,hibrido,estados unidos,media
2022,data_analyst,Analysis,66843,mexico,senior,tempo_integral,presencial,alemanha,grande
2021,machine_learning_engineer,Analysis,68930,estados unidos,sem_exp,meio_periodo,hibrido,india,grande
2021,data_scientist,ML/AI,190942,alemanha,pleno,meio_periodo,hibrido,china,grande
2021,data_scientist,Data Science,135940,japao,senior,temporario,hibrido,india,media
2022,data_analyst,Engineering,88103,alemanha,junior,meio_periodo,remoto,japao,media
2022,data_analyst,Engineering,70770,china,junior,meio_periodo,presencial,reino unido,grande
2020,machine_learning_engineer,Analysis,141757,japao,sem_exp,tempo_integral,remoto,mexico,pequena
2022,machine_learning_engineer,Analysis,60158,reino unido,executivo,tempo_integral,remoto,alemanha,pequena
2022,statistician,Analysis,118992,india,sem_exp,tempo_integral,hibrido,japao,pequena
2022,data_engineer,ML/AI,77401,india,executivo,freelancer,presencial,japao,grande
2022,machine_learning_engineer,ML/AI,174064,japao,senior,freelancer,remoto,india,pequena
2020,data_analyst,Analysis,186462,reino unido,executivo,tempo_integral,hibrido,reino unido,pequena
2022,machine_learning_engineer,Analysis,75858,japao,senior,freelancer,presencial,india,pequena
2021,data_scientist,Data Science,177828,japao,junior,temporario,presencial,reino unido,pequena
2021,data_engineer,Engineering,183043,mexico,executivo,freelancer,remoto,japao,media
2022,statistician,Engineering,168143,japao,executivo,temporario,hibrido,estados unidos,pequena
2022,data_scientist,ML/AI,114811,india,executivo,tempo_integral,remoto,alemanha,pequena
2021,data_scientist,Analysis,159970,china,junior,tempo_integral,presencial,japao,media
2021,data_engineer,Data Science,36586,japao,senior,freelancer,remoto,india,pequena
2020,statistician,ML/AI,49703,india,junior,tempo_integral,hibrido,mexico,pequena
2021,data_analyst,Data Science,106177,estados unidos,junior,tempo_integral,presencial,mexico,pequena
2021,statistician,Analysis,66735,reino unido,pleno,meio_periodo,hibrido,alemanha,media
2022,machine_learning_engineer,Analysis,128525,estados unidos,executivo,tempo_integral,hibrido,japao,grande
2021,data_scientist,Analysis,69648,japao,senior,meio_periodo,presencial,reino unido,pequena
2020,machine_learning_engineer,Engineering,173201,india,senior,tempo_integral,hibrido,mexico,pequena
2021,data_analyst,Analysis,66656,reino unido,pleno,temporario,hibrido,india,pequena
2022,machine_learning_engineer,ML/AI,190737,alemanha,pleno,temporario,hibrido,mexico,pequena
2022,statistician,Analysis,174571,reino unido,sem_exp,tempo_integral,presencial,japao,pequena
2021,machine_learning_engineer,Data Science,105888,reino unido,pleno,temporario,hibrido,reino unido,grande
2022,data_analyst,ML/AI,49654,japao,senior,temporario,remoto,reino unido,pequena
2020,data_analyst,ML/AI,160117,mexico,senior,temporario,remoto,reino unido,pequena
2020,data_analyst,Data Science,116613,estados unidos,senior,freelancer,hibrido,mexico,media
2021,statistician,Engineering,48982,estados unidos,junior,temporario,remoto,alemanha,grande
2021,data_analyst,ML/AI,129970,alemanha,executivo,meio_periodo,remoto,india,grande
2021,data_scientist,ML/AI,111848,japao,executivo,freelancer,presencial,reino unido,grande
2022,data_analyst,ML/AI,139577,reino unido,junior,meio_periodo,hibrido,japao,pequena
2020,machine_learning_engineer,Analysis,109874,mexico,sem_exp,meio_periodo,presencial,reino unido,media
2020,machine_learning_engineer,Engineering,60173,china,senior,meio_periodo,hibrido,india,pequena
2022,machine_learning_engineer,Engineering,156765,estados unidos,junior,freelancer,remoto,china,media
2020,statistician,ML/AI,67525,estados unidos,junior,tempo_integral,presencial,china,media
2021,machine_learning_engineer,Analysis,57328,india,pleno,temporario,presencial,alemanha,media
2021,statistician,Data Science,172432,reino unido,junior,temporario,remoto,reino unido,pequena
2021,statistician,Analysis,146242,japao,executivo,tempo_integral,remoto,japao,pequena
2020,data_analyst,Engineering,134419,estados unidos,junior,tempo_integral,hibrido,india,pequena
2021,data_scientist,ML/AI,52625,mexico,senior,meio_periodo,hibrido,mexico,grande
2022,data_analyst,ML/AI,137576,japao,senior,freelancer,remoto,reino unido,media
2022,data_analyst,Analysis,46471,reino unido,senior,meio_periodo,remoto,mexico,media
2020,statistician,Analysis,69883,reino unido,executivo,temporario,presencial,alemanha,grande
2022,statistician,Data Science,32703,estados unidos,executivo,tempo_integral,presencial,estados unidos,grande
2022,machine_learning_engineer,ML/AI,95524,alemanha,pleno,temporario,hibrido,china,grande
2020,machine_learning_engineer,Analysis,195587,japao,junior,tempo_integral,presencial,japao,pequena
2021,data_analyst,Data Science,45151,japao,pleno,freelancer,remoto,china,grande
2021,data_engineer,Engineering,79190,india,junior,meio_periodo,remoto,reino unido,pequena
2021,data_engineer,Analysis,86195,mexico,junior,temporario,remoto,reino unido,pequena
2020,machine_learning_engineer,Engineering,156559,reino unido,executivo,freelancer,remoto,estados unidos,media
2022,data_engineer,Data Science,94108,reino unido,senior,temporario,hibrido,india,grande
2021,machine_learning_engineer,Engineering,179607,estados unidos,junior,tempo_integral,remoto,mexico,pequena
2021,statistician,ML/AI,132241,estados unidos,executivo,temporario,remoto,mexico,pequena
2020,data_analyst,ML/AI,135190,estados unidos,pleno,freelancer,remoto,mexico,grande
2021,data_scientist,Data Science,73050,india,sem_exp,freelancer,remoto,estados unidos,media
2020,data_analyst,ML/AI,62976,mexico,pleno,meio_periodo,hibrido,mexico,pequena
2022,machine_learning_engineer,Data Science,30599,alemanha,pleno,temporario,hibrido,india,pequena
2020,machine_learning_engineer,Analysis,89867,estados unidos,sem_exp,tempo_integral,presencial,reino unido,media
2020,data_analyst,Engineering,33709,estados unidos,senior,temporario,hibrido,estados unidos,pequena
2020,machine_learning_engineer,Analysis,185182,china,sem_exp,meio_periodo,hibrido,china,grande
2020,data_engineer,Engineering,79365,mexico,pleno,tempo_integral,hibrido,mexico,grande
2022,data_engineer,Analysis,35723,estados unidos,junior,tempo_integral,presencial,china,media
2022,machine_learning_engineer,Engineering,142308,india,senior,meio_periodo,remoto,mexico,media
2021,machine_learning_engineer,Data Science,188466,japao,executivo,tempo_integral,presencial,reino unido,media
2022,data_engineer,ML/AI,94120,alemanha,executivo,freelancer,remoto,estados unidos,pequena
2022,machine_learning_engineer,ML/AI,40316,japao,executivo,freelancer,hibrido,reino unido,pequena
2021,machine_learning_engineer,Analysis,183694,china,junior,tempo_integral,remoto,china,media
2022,data_analyst,Analysis,185916,reino unido,junior,temporario,presencial,china,media
2020,data_scientist,Data Science,136276,reino unido,senior,tempo_integral,remoto,reino unido,grande
2020,data_engineer,Engineering,51162,estados unidos,junior,temporario,remoto,mexico,media
2021,data_analyst,Analysis,58833,china,executivo,meio_periodo,hibrido,reino unido,pequena
2021,data_scientist,ML/AI,178278,japao,pleno,freelancer,remoto,alemanha,media
2021,machine_learning_engineer,Analysis,156515,india,pleno,freelancer,remoto,estados unidos,media
2020,machine_learning_engineer,Analysis,150788,alemanha,pleno,meio_periodo,hibrido,alemanha,grande
2022,data_analyst,Engineering,81747,mexico,executivo,meio_periodo,presencial,reino unido,media
2020,machine_learning_engineer,Analysis,120037,japao,sem_exp,freelancer,hibrido,japao,pequena
2021,statistician,Analysis,143850,china,sem_exp,meio_periodo,remoto,china,grande
2022,data_analyst,ML/AI,148641,china,junior,tempo_integral,hibrido,india,media
2022,data_scientist,Engineering,148519,mexico,junior,tempo_integral,hibrido,estados unidos,media
2020,data_analyst,ML/AI,149271,japao,executivo,temporario,remoto,estados unidos,pequena
2021,data_engineer,Data Science,85387,alemanha,junior,temporario,presencial,china,pequena
2020,data_analyst,Data Science,55226,japao,junior,temporario,hibrido,india,grande
2022,machine_learning_engineer,Analysis,136287,japao,executivo,tempo_integral,presencial,alemanha,grande
2020,machine_learning_engineer,Analysis,167572,alemanha,senior,freelancer,hibrido,india,pequena
2020,statistician,Analysis,31634,india,pleno,temporario,remoto,japao,grande
2021,statistician,ML/AI,175131,mexico,pleno,tempo_integral,remoto,reino unido,pequena
2021,statistician,Analysis,145855,china,sem_exp,freelancer,hibrido,india,grande
2022,data_scientist,Engineering,34076,alemanha,senior,meio_periodo,hibrido,mexico,pequena
2020,statistician,Analysis,136694,estados unidos,executivo,tempo_integral,hibrido,india,pequena
2020,data_scientist,ML/AI,68210,estados unidos,junior,meio_periodo,remoto,reino unido,grande
2020,statistician,Analysis,158798,estados unidos,executivo,temporario,hibrido,china,grande
2022,data_scientist,Data Science,187003,estados unidos,pleno,freelancer,remoto,estados unidos,grande
2022,data_analyst,Data Science,62007,mexico,sem_exp,tempo_integral,hibrido,china,grande
2021,data_analyst,Data Science,183816,reino unido,pleno,temporario,remoto,mexico,media
2021,machine_learning_engineer,ML/AI,191468,india,executivo,temporario,hibrido,japao,grande
2021,data_scientist,Analysis,118619,reino unido,executivo,freelancer,presencial,china,grande
2020,data_engineer,Data Science,152315,japao,senior,meio_periodo,presencial,india,grande
2020,machine_learning_engineer,ML/AI,96038,japao,executivo,temporario,remoto,india,grande
2021,data_analyst,Data Science,173828,alemanha,sem_exp,freelancer,hibrido,estados unidos,media
2020,data_scientist,Engineering,171677,estados unidos,senior,freelancer,presencial,japao,media
2021,statistician,Data Science,183488,alemanha,junior,tempo_integral,hibrido,reino unido,grande
2022,data_engineer,Analysis,86558,japao,executivo,temporario,hibrido,reino unido,media
2021,data_analyst,Analysis,198559,estados unidos,executivo,meio_periodo,hibrido,alemanha,media
2022,machine_learning_engineer,Analysis,136052,mexico,senior,meio_periodo,presencial,japao,pequena
2020,data_scientist,Analysis,123079,china,pleno,temporario,remoto,japao,grande
2021,data_engineer,ML/AI,126816,india,sem_exp,meio_periodo,presencial,india,grande
2020,data_scientist,Analysis,163942,japao,pleno,freelancer,remoto,alemanha,pequena
2022,statistician,ML/AI,157942,china,pleno,freelancer,presencial,reino unido,grande
2022,machine_learning_engineer,Data Science,165830,alemanha,executivo,temporario,hibrido,mexico,grande
2022,data_scientist,Analysis,141342,china,junior,meio_periodo,hibrido,japao,media
2020,data_analyst,Data Science,199808,alemanha,senior,freelancer,hibrido,japao,pequena
